dataset,index,prompt_preview,prompt_length,has_tools,protocol,provider,model,timestamp
routellm_gpt4,0,"Write c++ code, which calculates and outputs n digits of pi.",60,False,standard_llm,deepseek,deepseek-chat,2025-07-06T22:41:53.185617
routellm_gpt4,1,"[Partner Cooperation Team] Share webinar schedule for Cafe24 employees
hello. This is a partnership team.
To have time to share information about 'partner service/market' necessary for customer consul...",957,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:41:54.307607
routellm_gpt4,2,Write a short rhyming poem explaining Einstein's theory of general relativity in easy but accurate terms,104,False,standard_llm,openai,gpt-4o,2025-07-06T22:41:54.775848
routellm_gpt4,3,"Replace the words ""desktop, articles, allows, user"" in following sentence, don't change other words: As a user, SpinnerChief API allows you to use SpinnerChief to spin articles inside other compatible...",268,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:41:55.365140
routellm_gpt4,4,What is the goal of creating quantum computers?,47,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:41:56.023726
routellm_gpt4,5,"I am trying to name a consumer product that sorts collectible cards.  I would like to explore names that have all knight / tower / squire / guard-related naming.  Some that we have thought of are ""Car...",396,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:41:57.089295
routellm_gpt4,6,append new row to datframe,26,False,minion,huggingface,meta-llama/Llama-3.1-8B-Instruct,2025-07-06T22:41:57.745533
routellm_gpt4,7,What's the word used to describe the thing instructors use to evaluate students' answers?,89,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:41:58.341990
routellm_gpt4,8,"In this task, you will be presented with a context from an academic paper and a question based on the context. You have to classify the questions into ""Extractive"", ""Abstractive"", or ""Yes-no"" question...",1416,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:00.623032
routellm_gpt4,9,How many batches are normal when training a deep learning method?,65,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:01.257775
routellm_gpt4,10,I need some vegan recipe ideas. I'm having some friends over and two have expressed they are now vegan.,103,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:01.944698
routellm_gpt4,11,How can you help your dog with arthritis?,41,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:02.683514
routellm_gpt4,12,is it okay to install spark plugs without making sure they are callibrated?,75,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:03.360200
routellm_gpt4,13,"Given a sentence in Spanish, provide an equivalent paraphrased version from the original that retains the same meaning.

El término `` esferocitosis no hereditaria se usa raramente, aunque ocasionalme...",204,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:03.912267
routellm_gpt4,14,"Part 1. Definition
You are given a math word problem and you are supposed to only use multiplication or division operators on the numbers embedded in the text to answer the following question and then...",566,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:05.184867
routellm_gpt4,15,Which deserts can warships cross?,33,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:05.625236
routellm_gpt4,16,Can you help me make my own ideology for a government?,54,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:06.254585
routellm_gpt4,17,how are educational quality improvement and education research different?,73,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:06.692319
